                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2782,                 4.5492,                 1.5497,                0.00667,                0.33333,                 0.0048,                0.00096,                  2.652,                 4.0567,                 1.3277,                      0,                      0,                      0
                      2,                 2.5524,                  4.468,                 1.4647,                0.00667,                0.33333,                0.00489,                0.00097,                 2.6059,                 4.0405,                 1.3105,             1.9934e-05,             1.9934e-05,             1.9934e-05
                      3,                 2.6722,                 4.3379,                 1.3761,                0.00778,                0.38889,                0.00579,                0.00134,                 2.5416,                 4.0108,                 1.2864,             3.9736e-05,             3.9736e-05,             3.9736e-05
                      4,                 2.5995,                 4.2542,                 1.4517,                0.00667,                0.33333,                0.00526,                0.00143,                 2.4436,                 3.9696,                 1.2696,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      5,                 2.5514,                 4.2781,                 1.4244,                0.00889,                0.44444,                0.00888,                0.00201,                 2.3098,                  3.926,                 1.2379,             7.8944e-05,             7.8944e-05,             7.8944e-05
                      6,                 2.3443,                 4.0189,                 1.3517,                   0.01,                    0.5,                0.00978,                0.00321,                 2.2051,                 3.8745,                 1.2117,              9.835e-05,              9.835e-05,              9.835e-05
                      7,                  2.236,                 3.9572,                 1.2613,                0.01111,                0.55556,                0.01223,                0.00333,                 2.1635,                 3.8154,                 1.2133,             0.00011762,             0.00011762,             0.00011762
                      8,                 2.1711,                 4.0543,                 1.6356,                0.01111,                0.55556,                 0.0124,                0.00385,                 2.1104,                 3.7863,                 1.2061,             0.00013677,             0.00013677,             0.00013677
                      9,                 1.8237,                  3.284,                 1.1422,                0.01333,                0.66667,                0.01498,                0.00542,                 2.0295,                 3.7432,                 1.1669,             0.00015578,             0.00015578,             0.00015578
                     10,                 2.4573,                 3.3676,                 1.3195,                0.01444,                0.72222,                0.01904,                0.00643,                 1.9987,                 3.7058,                 1.1455,             0.00017465,             0.00017465,             0.00017465
                     11,                  2.162,                 3.0036,                  1.181,                0.01778,                0.88889,                0.02555,                0.00853,                 1.9796,                 3.6603,                 1.1159,              0.0001934,              0.0001934,              0.0001934
                     12,                 2.1857,                 2.2775,                 1.2959,                0.01889,                0.94444,                 0.0291,                0.00963,                 1.9626,                 3.5707,                 1.0752,             0.00021201,             0.00021201,             0.00021201
                     13,                 2.0779,                 2.0663,                 1.3242,                0.01889,                0.94444,                0.02904,                0.01093,                 1.9809,                 3.5091,                 1.0637,              0.0002305,              0.0002305,              0.0002305
                     14,                 2.1527,                 2.1268,                 1.3363,                0.01889,                0.94444,                0.02899,                0.01094,                 1.9978,                 3.4822,                 1.0749,             0.00024885,             0.00024885,             0.00024885
                     15,                 2.1605,                 2.3502,                 1.3629,                0.01778,                0.88889,                 0.0247,                0.00926,                 2.0314,                 3.4689,                  1.089,             0.00026706,             0.00026706,             0.00026706
                     16,                 2.1871,                 2.3326,                 1.4514,                0.01778,                0.88889,                0.02389,                0.00839,                 2.0442,                 3.4542,                 1.0951,             0.00028515,             0.00028515,             0.00028515
                     17,                 1.8226,                 2.0283,                 1.1598,                0.01889,                0.94444,                  0.025,                 0.0088,                 2.0134,                  3.495,                 1.0948,              0.0003031,              0.0003031,              0.0003031
                     18,                 1.8679,                 1.9326,                 1.2268,                0.01889,                0.94444,                  0.025,                 0.0088,                 2.0134,                  3.495,                 1.0948,             0.00032093,             0.00032093,             0.00032093
                     19,                 1.7167,                 1.9562,                 1.2401,                   0.02,                      1,                0.02592,                0.00947,                 1.9988,                 3.5441,                 1.0886,             0.00033862,             0.00033862,             0.00033862
                     20,                 1.7956,                 1.7324,                 1.1908,                   0.02,                      1,                0.02592,                0.00947,                 1.9988,                 3.5441,                 1.0886,             0.00035617,             0.00035617,             0.00035617
                     21,                   1.76,                 1.7109,                 1.1822,                   0.02,                      1,                0.02551,                0.00982,                 1.8365,                 3.5206,                 1.0576,              0.0003736,              0.0003736,              0.0003736
                     22,                  1.995,                 1.9344,                 1.2945,                   0.02,                      1,                0.02551,                0.00982,                 1.8365,                 3.5206,                 1.0576,             0.00039089,             0.00039089,             0.00039089
                     23,                 1.9808,                  2.157,                 1.2773,                   0.02,                      1,                0.02498,                0.01031,                 1.7731,                 3.5069,                 1.0483,             0.00040806,             0.00040806,             0.00040806
                     24,                 1.9048,                 1.6015,                 1.1637,                   0.02,                      1,                0.02498,                0.01031,                 1.7731,                 3.5069,                 1.0483,             0.00042509,             0.00042509,             0.00042509
                     25,                 1.8812,                 1.6083,                 1.1873,                0.01889,                0.94444,                0.02561,                0.01065,                 1.7656,                  3.497,                 1.0423,             0.00044198,             0.00044198,             0.00044198
                     26,                 1.9682,                 1.5967,                 1.1855,                0.01889,                0.94444,                0.02561,                0.01065,                 1.7656,                  3.497,                 1.0423,             0.00045875,             0.00045875,             0.00045875
                     27,                 1.8109,                 1.7478,                 1.1747,                0.01889,                0.94444,                0.02589,                0.00935,                 1.8089,                 3.4729,                 1.0526,             0.00047538,             0.00047538,             0.00047538
                     28,                 1.6382,                 1.4351,                 1.1366,                0.01889,                0.94444,                0.02589,                0.00935,                 1.8089,                 3.4729,                 1.0526,             0.00049189,             0.00049189,             0.00049189
                     29,                 1.5782,                 1.5816,                 1.1353,                0.01889,                0.94444,                0.02733,                 0.0093,                 1.9644,                 3.4473,                 1.0945,             0.00050826,             0.00050826,             0.00050826
                     30,                 1.7698,                 1.3618,                  1.104,                0.01889,                0.94444,                0.02733,                 0.0093,                 1.9644,                 3.4473,                 1.0945,             0.00052449,             0.00052449,             0.00052449
                     31,                 1.8377,                  1.817,                 1.2648,                0.01667,                0.83333,                0.02385,                0.00778,                  2.196,                  3.462,                 1.1625,              0.0005406,              0.0005406,              0.0005406
                     32,                 1.4459,                 1.4993,                  1.138,                0.01667,                0.83333,                0.02385,                0.00778,                  2.196,                  3.462,                 1.1625,             0.00055657,             0.00055657,             0.00055657
                     33,                 1.7758,                 1.4155,                 1.0254,                0.01778,                0.88889,                0.02581,                0.00789,                 2.3102,                 3.5122,                  1.221,             0.00057242,             0.00057242,             0.00057242
                     34,                 1.9876,                 1.6565,                 1.0761,                0.01778,                0.88889,                0.02581,                0.00789,                 2.3102,                 3.5122,                  1.221,             0.00058813,             0.00058813,             0.00058813
                     35,                 1.6277,                 1.4394,                 1.1658,                0.01667,                0.83333,                0.02381,                0.00752,                 2.2361,                 3.4953,                 1.2006,              0.0006037,              0.0006037,              0.0006037
                     36,                  1.505,                 1.4629,                0.99973,                0.01667,                0.83333,                0.02381,                0.00752,                 2.2361,                 3.4953,                 1.2006,             0.00061915,             0.00061915,             0.00061915
                     37,                 1.6625,                 1.4559,                 1.1637,                0.01889,                0.94444,                 0.0274,                0.00845,                 2.0277,                 3.4238,                 1.1236,             0.00063446,             0.00063446,             0.00063446
                     38,                 1.6375,                 1.2669,                 1.0699,                0.01889,                0.94444,                 0.0274,                0.00845,                 2.0277,                 3.4238,                 1.1236,             0.00064965,             0.00064965,             0.00064965
                     39,                  1.403,                 1.2015,                 1.0198,                0.01889,                0.94444,                0.02589,                 0.0098,                 1.8283,                 3.3162,                 1.0641,              0.0006647,              0.0006647,              0.0006647
                     40,                  1.813,                 1.5746,                 1.2069,                0.01889,                0.94444,                0.02589,                 0.0098,                 1.8283,                 3.3162,                 1.0641,             0.00067961,             0.00067961,             0.00067961
                     41,                 1.7158,                 1.2646,                 1.0999,                0.01778,                0.88889,                0.02435,                0.00993,                 1.7946,                 3.2866,                 1.0588,              0.0006944,              0.0006944,              0.0006944
                     42,                  1.779,                  1.646,                 1.2333,                0.01778,                0.88889,                0.02435,                0.00993,                 1.7946,                 3.2866,                 1.0588,             0.00070905,             0.00070905,             0.00070905
                     43,                 1.7696,                 1.5928,                 1.0464,                0.01778,                0.88889,                0.02423,                0.00955,                 1.8665,                 3.3261,                 1.0849,             0.00072358,             0.00072358,             0.00072358
                     44,                 1.6927,                 1.4607,                 1.0693,                0.01778,                0.88889,                0.02423,                0.00955,                 1.8665,                 3.3261,                 1.0849,             0.00073797,             0.00073797,             0.00073797
                     45,                 1.5747,                 1.4566,                  1.146,                0.01889,                0.94444,                 0.0253,                0.00861,                 1.9207,                 3.3983,                 1.0923,             0.00075222,             0.00075222,             0.00075222
                     46,                 1.3899,                   1.32,                  1.142,                0.01889,                0.94444,                 0.0253,                0.00861,                 1.9207,                 3.3983,                 1.0923,             0.00076635,             0.00076635,             0.00076635
                     47,                 1.2906,                 1.2516,                 1.1156,                   0.02,                      1,                0.02651,                0.00974,                 1.8401,                 3.4229,                 1.0595,             0.00078034,             0.00078034,             0.00078034
                     48,                 1.4385,                 1.4627,                 1.0756,                   0.02,                      1,                0.02651,                0.00974,                 1.8401,                 3.4229,                 1.0595,             0.00079421,             0.00079421,             0.00079421
                     49,                 1.4593,                 1.5275,                 1.0717,                0.01889,                0.94444,                0.02659,                0.01072,                 1.8536,                  3.374,                 1.0746,             0.00080794,             0.00080794,             0.00080794
                     50,                 1.5282,                   1.46,                 1.0563,                0.01889,                0.94444,                0.02659,                0.01072,                 1.8536,                  3.374,                 1.0746,             0.00082153,             0.00082153,             0.00082153
                     51,                 1.5194,                 1.4167,                 1.1066,                0.01889,                0.94444,                0.02617,                0.01079,                  1.892,                 3.2299,                 1.1307,               0.000835,               0.000835,               0.000835
                     52,                 1.7482,                  1.244,                 1.1163,                0.01889,                0.94444,                0.02617,                0.01079,                  1.892,                 3.2299,                 1.1307,             0.00084833,             0.00084833,             0.00084833
                     53,                 1.3847,                 1.1995,                 1.0421,                0.01889,                0.94444,                0.02617,                0.01079,                  1.892,                 3.2299,                 1.1307,             0.00086154,             0.00086154,             0.00086154
                     54,                 1.4519,                 1.2727,                 1.0163,                0.01889,                0.94444,                0.20172,                0.10251,                 1.9364,                 3.0096,                 1.1716,             0.00087461,             0.00087461,             0.00087461
                     55,                 1.4263,                 1.2509,                 1.0329,                0.01889,                0.94444,                0.20172,                0.10251,                 1.9364,                 3.0096,                 1.1716,             0.00088754,             0.00088754,             0.00088754
                     56,                 1.6981,                 1.1947,                 1.0064,                0.01889,                0.94444,                0.20172,                0.10251,                 1.9364,                 3.0096,                 1.1716,             0.00090035,             0.00090035,             0.00090035
                     57,                 1.3802,                 1.2924,                 1.0775,                0.01889,                0.94444,                0.51649,                0.19814,                 1.9465,                 2.9282,                 1.1502,             0.00091302,             0.00091302,             0.00091302
                     58,                 1.5451,                 1.2195,                 1.0674,                0.01889,                0.94444,                0.51649,                0.19814,                 1.9465,                 2.9282,                 1.1502,             0.00092557,             0.00092557,             0.00092557
                     59,                 1.3815,                 1.0375,                 1.0226,                0.01889,                0.94444,                0.51649,                0.19814,                 1.9465,                 2.9282,                 1.1502,             0.00093798,             0.00093798,             0.00093798
                     60,                 1.1108,                 1.1433,                0.97647,                0.01778,                0.88889,                0.61021,                 0.2563,                 1.8106,                 2.8844,                 1.0936,             0.00095025,             0.00095025,             0.00095025
                     61,                 1.5864,                 1.2035,                 1.0518,                0.01778,                0.88889,                0.61021,                 0.2563,                 1.8106,                 2.8844,                 1.0936,              0.0009624,              0.0009624,              0.0009624
                     62,                 1.6278,                 1.2065,                 1.0384,                0.01778,                0.88889,                0.61021,                 0.2563,                 1.8106,                 2.8844,                 1.0936,             0.00097441,             0.00097441,             0.00097441
                     63,                  1.407,                 1.1978,                 1.0021,                0.01778,                0.88889,                 0.5773,                 0.2437,                 1.7447,                 2.9303,                 1.0729,              0.0009863,              0.0009863,              0.0009863
                     64,                 1.4878,                 1.1977,                 1.0796,                0.01778,                0.88889,                 0.5773,                 0.2437,                 1.7447,                 2.9303,                 1.0729,             0.00099805,             0.00099805,             0.00099805
                     65,                 1.4535,                 1.1522,                 1.0769,                0.01778,                0.88889,                 0.5773,                 0.2437,                 1.7447,                 2.9303,                 1.0729,              0.0010097,              0.0010097,              0.0010097
                     66,                 1.4825,                 1.1866,                0.99667,                0.01778,                0.88889,                0.60251,                0.23674,                 1.8079,                 2.8901,                 1.0887,              0.0010211,              0.0010211,              0.0010211
                     67,                 1.4058,                   1.27,                 1.0051,                0.01778,                0.88889,                0.60251,                0.23674,                 1.8079,                 2.8901,                 1.0887,              0.0010325,              0.0010325,              0.0010325
                     68,                 1.2834,                 1.2291,                 1.0861,                0.01778,                0.88889,                0.60251,                0.23674,                 1.8079,                 2.8901,                 1.0887,              0.0010437,              0.0010437,              0.0010437
                     69,                 1.4911,                 1.3461,                0.99123,                      1,                 0.2981,                0.67657,                0.28832,                 1.9303,                 2.7592,                 1.1411,              0.0010548,              0.0010548,              0.0010548
                     70,                 1.3269,                 1.0889,                0.97424,                      1,                 0.2981,                0.67657,                0.28832,                 1.9303,                 2.7592,                 1.1411,              0.0010658,              0.0010658,              0.0010658
                     71,                 1.5555,                 1.2705,                0.97644,                      1,                 0.2981,                0.67657,                0.28832,                 1.9303,                 2.7592,                 1.1411,              0.0010766,              0.0010766,              0.0010766
                     72,                 1.3319,                 1.2013,                 1.1143,                      1,                0.19482,                0.69656,                0.30802,                 2.0024,                 2.6902,                 1.1801,              0.0010873,              0.0010873,              0.0010873
                     73,                 1.3962,                 1.1964,                 1.0106,                      1,                0.19482,                0.69656,                0.30802,                 2.0024,                 2.6902,                 1.1801,              0.0010979,              0.0010979,              0.0010979
                     74,                 1.1889,                 1.0436,                0.93565,                      1,                0.19482,                0.69656,                0.30802,                 2.0024,                 2.6902,                 1.1801,              0.0011083,              0.0011083,              0.0011083
                     75,                 1.2993,                 1.1212,                0.99401,                      1,                0.15942,                0.63542,                0.28548,                 2.0377,                 2.7194,                 1.1804,              0.0011186,              0.0011186,              0.0011186
                     76,                 1.2702,                  1.098,                0.99489,                      1,                0.15942,                0.63542,                0.28548,                 2.0377,                 2.7194,                 1.1804,              0.0011287,              0.0011287,              0.0011287
                     77,                 1.2087,                 1.0672,                 1.0754,                      1,                0.15942,                0.63542,                0.28548,                 2.0377,                 2.7194,                 1.1804,              0.0011388,              0.0011388,              0.0011388
