                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5013,                 1.0727,                 1.0282,                      1,                0.80178,                  0.995,                  0.481,                 1.7772,                  2.297,                 1.6094,                      0,                      0,                      0
                      2,                 1.4006,                0.92163,                 1.0109,                      1,                 0.8038,                  0.995,                0.47256,                 1.7936,                 2.2606,                 1.6034,             1.9934e-05,             1.9934e-05,             1.9934e-05
                      3,                 1.3063,                0.95669,                 1.0586,                      1,                0.80467,                  0.995,                0.46171,                  1.815,                 2.2216,                 1.6054,             3.9736e-05,             3.9736e-05,             3.9736e-05
                      4,                 1.3921,                0.93819,                   1.04,                0.79224,                 0.6408,                0.90071,                0.44938,                 1.8434,                 2.1952,                 1.6221,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      5,                 1.3055,                0.99946,                0.93911,                0.79186,                0.63953,                0.92357,                0.44668,                 1.8862,                 2.1648,                 1.6257,             7.8944e-05,             7.8944e-05,             7.8944e-05
                      6,                 1.5256,                  1.025,                0.99611,                0.78941,                0.63135,                0.89833,                0.36042,                 1.9001,                 2.1912,                 1.6176,              9.835e-05,              9.835e-05,              9.835e-05
                      7,                  1.385,                 1.0318,                0.94458,                0.78765,                0.62549,                0.92357,                0.35564,                 1.9298,                 2.2113,                 1.6208,             0.00011762,             0.00011762,             0.00011762
                      8,                 1.3781,                0.96658,                0.94088,                0.78628,                0.62094,                0.77987,                 0.3133,                 1.9479,                 2.2281,                 1.6249,             0.00013677,             0.00013677,             0.00013677
                      9,                 1.3946,                0.99594,                0.91573,                0.78493,                0.61643,                0.77989,                0.34849,                 1.9614,                 2.2495,                 1.6238,             0.00015578,             0.00015578,             0.00015578
                     10,                 1.4145,                0.99472,                0.92314,                0.78402,                 0.6134,                0.77989,                0.34836,                 1.9682,                 2.2658,                 1.6228,             0.00017465,             0.00017465,             0.00017465
