                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5197,                 2.1746,                 1.5962,                0.00444,                0.57143,                0.00444,                0.00088,                 3.3068,                 5.0654,                 2.1149,                      0,                      0,                      0
                      2,                 2.1836,                 1.6364,                  1.446,                0.00333,                0.42857,                0.00326,                 0.0013,                  3.103,                 4.4475,                 2.1695,             1.9901e-05,             1.9901e-05,             1.9901e-05
                      3,                 2.2905,                  2.216,                 1.5809,                0.00444,                0.57143,                0.00451,                0.00141,                 2.8804,                 4.4583,                 2.2643,             3.9604e-05,             3.9604e-05,             3.9604e-05
                      4,                 2.5116,                 2.1772,                 1.4307,                0.00444,                0.57143,                0.00482,                0.00155,                 2.6402,                 4.5855,                 2.2748,             5.9109e-05,             5.9109e-05,             5.9109e-05
                      5,                 2.3686,                 1.9561,                 1.4617,                0.00444,                0.57143,                0.00402,                 0.0015,                 2.8585,                 4.6749,                   2.26,             7.8416e-05,             7.8416e-05,             7.8416e-05
                      6,                 2.7674,                 1.7194,                 1.4233,                0.00444,                0.57143,                0.00369,                0.00118,                 3.0995,                 5.6883,                 2.3235,             9.7525e-05,             9.7525e-05,             9.7525e-05
                      7,                 2.1455,                 1.6647,                 1.5955,                0.00444,                0.57143,                0.00384,                0.00134,                 3.2072,                 8.3424,                 2.3631,             0.00011644,             0.00011644,             0.00011644
                      8,                 2.4744,                 2.1582,                 2.0617,                0.00444,                0.57143,                 0.0039,                0.00123,                 3.3387,                 12.648,                 2.3861,             0.00013515,             0.00013515,             0.00013515
                      9,                 2.1075,                 1.6181,                 1.3861,                0.00444,                0.57143,                0.00417,                0.00141,                 3.4096,                 10.575,                 2.3977,             0.00015366,             0.00015366,             0.00015366
                     10,                 2.1053,                 1.4954,                 1.4515,                0.00444,                0.57143,                0.00435,                0.00138,                 3.5711,                 7.2313,                 2.4101,             0.00017198,             0.00017198,             0.00017198
                     11,                 1.8829,                 1.4404,                 1.3854,                0.00444,                0.57143,                0.00435,                0.00138,                 3.7322,                  6.054,                 2.4366,              0.0001901,              0.0001901,              0.0001901
                     12,                 1.9328,                 1.3847,                 1.3294,                0.00444,                0.57143,                0.00486,                0.00144,                 3.7521,                 5.3275,                 2.4598,             0.00020802,             0.00020802,             0.00020802
                     13,                 1.9396,                 1.4144,                 1.3421,                0.00444,                0.57143,                0.00528,                0.00154,                 3.6947,                  4.942,                  2.464,             0.00022574,             0.00022574,             0.00022574
                     14,                 1.9375,                 1.2348,                 1.2588,                0.00444,                0.57143,                 0.0054,                 0.0015,                 3.6468,                 4.7996,                 2.4565,             0.00024327,             0.00024327,             0.00024327
                     15,                 1.9489,                 1.3229,                 1.4146,                0.00444,                0.57143,                 0.0056,                0.00182,                 3.5566,                 4.6673,                  2.422,              0.0002606,              0.0002606,              0.0002606
                     16,                 2.0399,                 2.0487,                  1.541,                0.00444,                0.57143,                 0.0058,                0.00188,                 3.4587,                 4.6022,                  2.378,             0.00027773,             0.00027773,             0.00027773
                     17,                 1.9886,                 1.4218,                 1.4134,                0.00444,                0.57143,                0.00591,                0.00214,                 3.3237,                 4.6102,                  2.327,             0.00029466,             0.00029466,             0.00029466
                     18,                 1.8876,                 1.1277,                 1.2279,                0.00444,                0.57143,                0.00591,                0.00214,                 3.3237,                 4.6102,                  2.327,             0.00031139,             0.00031139,             0.00031139
                     19,                 1.8912,                 1.1428,                 1.2358,                0.00444,                0.57143,                0.00853,                0.00314,                 3.2393,                 4.6085,                  2.266,             0.00032792,             0.00032792,             0.00032792
                     20,                 1.7861,                 1.4234,                 1.2612,                0.00444,                0.57143,                0.00853,                0.00314,                 3.2393,                 4.6085,                  2.266,             0.00034426,             0.00034426,             0.00034426
                     21,                 2.1273,                 1.1944,                 1.1933,                0.00444,                0.57143,                 0.0207,                0.00758,                 2.9884,                 4.4693,                 2.1666,              0.0003604,              0.0003604,              0.0003604
                     22,                 1.7665,                 1.4276,                 1.2478,                0.00444,                0.57143,                 0.0207,                0.00758,                 2.9884,                 4.4693,                 2.1666,             0.00037634,             0.00037634,             0.00037634
