                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2108,                 2.4467,                 1.4801,                0.00222,                0.33333,                0.00214,                0.00079,                 2.3908,                 4.8462,                 2.7124,                      0,                      0,                      0
                      2,                 2.0781,                 2.0753,                 1.5574,                0.00222,                0.33333,                0.00174,                 0.0005,                 2.3713,                 4.4787,                 2.7734,             1.9934e-05,             1.9934e-05,             1.9934e-05
                      3,                 1.9594,                 2.2628,                  1.691,                0.00222,                0.33333,                0.00153,                0.00022,                 2.4564,                 4.6419,                 2.7198,             3.9736e-05,             3.9736e-05,             3.9736e-05
                      4,                 2.0477,                  2.039,                 1.6207,                0.00333,                    0.5,                0.00288,                0.00086,                 2.4785,                 4.3316,                 2.5056,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      5,                 1.9448,                 2.2796,                 1.4633,                0.00333,                    0.5,                0.00271,                0.00077,                 2.9354,                 4.6766,                 2.5783,             7.8944e-05,             7.8944e-05,             7.8944e-05
                      6,                 2.1794,                 2.2375,                 1.4013,                0.00111,                0.16667,                0.00071,                  7e-05,                 2.9356,                 4.6444,                 2.6322,              9.835e-05,              9.835e-05,              9.835e-05
                      7,                 2.1049,                 2.0415,                 1.3907,                0.00111,                0.16667,                0.00072,                0.00021,                 2.8075,                 4.6127,                 2.6246,             0.00011762,             0.00011762,             0.00011762
                      8,                 1.9297,                  1.814,                 1.3585,                0.00222,                0.33333,                0.00174,                 0.0006,                 2.8332,                 4.4018,                 2.6332,             0.00013677,             0.00013677,             0.00013677
                      9,                 2.1168,                 1.9667,                 1.2598,                0.00222,                0.33333,                0.00193,                0.00077,                 2.8095,                 4.3129,                 2.6484,             0.00015578,             0.00015578,             0.00015578
                     10,                 2.1023,                 1.8475,                 1.3031,                0.00222,                0.33333,                0.00193,                0.00112,                 2.7801,                  4.208,                 2.6549,             0.00017465,             0.00017465,             0.00017465
                     11,                 2.0775,                 1.9876,                  1.267,                0.00333,                    0.5,                0.00339,                0.00138,                 2.6575,                 4.1432,                  2.657,              0.0001934,              0.0001934,              0.0001934
                     12,                 1.9958,                 1.4455,                 1.4586,                0.00333,                    0.5,                0.00301,                0.00133,                 2.4985,                 4.1192,                 2.6164,             0.00021201,             0.00021201,             0.00021201
                     13,                 2.4647,                 2.3354,                 1.2818,                0.00333,                    0.5,                0.00299,                0.00145,                 2.4074,                 4.1281,                 2.6274,              0.0002305,              0.0002305,              0.0002305
