75	100	125	150	175	200	250
500	500	500	500	500	500	500
17.8781	-2.54909	-13.9599	-23.3079	-14.7264	-4.912	-5.40952
-0.132025	0.0140064	0.0844951	0.135141	0.0713256	0.0108326	0.00550749
0.000227717	-0.00016946	-0.000328875	-0.000420802	-0.000228015	-8.10546e-5	-3.78851e-5
-2.2543e-7	3.27196e-7	5.05918e-7	5.73717e-7	2.8487e-7	1.15712e-7	2.4808e-8
1.33574e-10	-2.8763e-10	-3.92299e-10	-4.03238e-10	-1.74383e-10	-8.13296e-11	4.92183e-12
-4.50458e-14	1.22625e-13	1.52279e-13	1.42846e-13	5.08071e-14	3.04913e-14	-8.65011e-15
6.72086e-18	-2.05736e-17	-2.35576e-17	-2.01726e-17	-5.34955e-18	-4.94989e-18	1.9849e-18
600	660	760	800	860	900	1000
23.1584	33.2732	39.1961	43.2469	49.5738	11.278	-52.6184
-0.0802147	-0.111099	-0.12352	-0.126973	-0.138613	0.00143478	0.214689
0.000105824	0.000141421	0.000149015	0.000142637	0.000147851	-3.69846e-5	-0.000294882
-6.15036e-8	-7.94952e-8	-7.9705e-8	-7.09985e-8	-6.96361e-8	3.58318e-8	1.71e-07
1.32453e-11	1.65836e-11	1.58772e-11	1.31646e-11	1.21595e-11	-9.91225e-12	-3.61e-11
640	700	760	820	860	920	980
50.5034	61.624	53.2623	18.2236	-31.8442	-48.7208	-147.859
-0.170541	-0.192967	-0.144342	-0.00840024	0.168327	0.222996	0.531652
2.17232e-4	2.28061e-4	1.4659e-4	-3.88e-5	-2.62603e-4	-3.21884e-4	-671937e-4
-1.21902e-7	-1.18715e-7	-6.46443e-8	4.31384e-8	1.65454e-7	1.91495e-7	3.65e-07
2.54037e-11	2.29638e-11	1.04227e-11	-1.23832e-11	-3.69355e-11	-4.08067e-11	-7.26e-11
2.058	2.058	2.058	2.058	2.058	2.058	2.058
5.887e-3	5.887e-3	5.887e-3	5.887e-3	5.887e-3	5.887e-3	5.89e-03
-4.012e-6	-4.012e-6	-4.012e-6	-4.012e-6	-4.012e-6	-4.012e-6	-4.01e-06
0.5411	0.5515	0.5585	0.5585	0.5585	0.5585	0.5585
1500	1500	1500	1500	1500	1500	1500
-0.351899	-0.047813	0.20981	0.265174	0.23047	0.170074	0.088141
0.00577056	0.00380813	0.00262881	0.00275836	0.00338331	0.00406131	0.00468253
9.95819e-7	4.22771e-6	4.24379e-6	2.08668e-6	-5.52305e-7	-2.82114e-6	-4.25e-06
-7.25324e-9	-8.66826e-9	-6.67328e-9	-3.69543e-9	-8.23607e-10	1.38369e-9	2.53509e-9
2.9759e-12	3.06712e-12	2.13496e-12	1.11862e-12	2.21349e-13	-4.28e-13	-7.29e-13
600	700	780	800	800	900	760
38.6199	51.249	68.4746	58.422	7.20188	21.5948	-88.4076
-0.132147	-0.167373	-2.15659e-1	-1.66664e-1	2.16109e-2	-2.02e-02	0.338518
1.75411e-4	2.11832e-4	2.62273e-4	1.85486e-4	-6.52882e-5	-1.72e-05	-0.000445581
-1.02417e-7	-1.18221e-7	-1.40972e-7	-9.12345e-8	5.37077e-8	2.83e-08	2.52e-07
2.21446e-11	2.45055e-11	2.82285e-11	1.67118e-11	-1.4095e-11	-8.94e-12	-5.20e-11
-0.2067	-0.16971	-0.14671	-0.1315	-0.120916	-0.11363	-0.10444
9.7533e-2	7.9830e-2	6.8808e-2	6.1603e-2	5.6538e-2	5.32e-02	4.8551e-2
-1.1817e-2	-9.4393e-3	-7.9836e-3	-7.0866e-3	-6.4324e-3	-6.04e-03	-5.3567e-3
1.6145e-3	1.2622e-3	1.0535e-3	9.2813e-4	8.3723e-4	7.80e-04	6.8809e-4
-0.2061	-0.169279	-0.146377	-0.13121	-0.12067	-0.113399	-0.104243
9.4449e-2	7.7599e-2	6.7052e-2	6.0105e-2	5.5232e-2	5.20e-02	4.7573e-2
-8.7953e-3	-7.1375e-3	-6.0951e-3	-5.4388e-3	-4.9580e-3	-4.69e-03	-4.1711e-3
8.8385e-4	6.9025e-4	5.7456e-4	5.0585e-4	4.5512e-4	4.25e-04	3.7068e-4
640	660	740	800	860	900	900
48.6536	54.4867	60.1267	47.0996	50.6174	8.01942	-15.5728
-0.170291	-0.178298	-0.183144	-0.12526	-0.129047	0.0185302	9.36704e-2
2.26242e-4	2.22725e-4	2.12481e-4	1.26352e-4	1.24842e-4	-6.15e-05	-1.49036e-4
-1.32032e-7	-1.227e-7	-1.08497e-7	-5.51584e-8	-5.24993e-8	4.98e-08	9.42151e-8
2.85193e-11	2.51316e-11	2.0571e-11	8.75272e-12	8.08272e-12	-1.26E-11	-2.0961e-11
