                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7348,                 1.1591,                 1.0152,                0.00667,                      1,                0.01336,                0.00498,                 2.1862,                 3.7913,                 1.3507,             0.00045111,             0.00045111,             0.00045111
                     36,                 1.6774,                  1.282,                 1.0466,                0.00667,                      1,                0.01336,                0.00498,                 2.1862,                 3.7913,                 1.3507,             0.00045745,             0.00045745,             0.00045745
                     37,                 1.5753,                 1.2314,                 1.0013,                0.00667,                      1,                0.01273,                0.00476,                  2.086,                 3.7913,                 1.3278,             0.00046339,             0.00046339,             0.00046339
                     38,                 1.6347,                 1.2027,                 1.0041,                0.00667,                      1,                0.01273,                0.00476,                  2.086,                 3.7913,                 1.3278,             0.00046894,             0.00046894,             0.00046894
                     39,                 1.6078,                 1.3374,                 1.0063,                0.00556,                0.83333,                0.00908,                0.00344,                 2.1557,                 3.8731,                 1.3223,             0.00047409,             0.00047409,             0.00047409
                     40,                 1.6483,                 1.1782,                 1.0431,                0.00556,                0.83333,                0.00908,                0.00344,                 2.1557,                 3.8731,                 1.3223,             0.00047884,             0.00047884,             0.00047884
                     41,                 1.6837,                 1.1531,                0.92226,                0.00667,                      1,                0.01135,                0.00342,                 2.1722,                 3.9323,                 1.2876,              0.0004832,              0.0004832,              0.0004832
                     42,                 1.6487,                 1.1262,                 1.0031,                0.00667,                      1,                0.01135,                0.00342,                 2.1722,                 3.9323,                 1.2876,             0.00048716,             0.00048716,             0.00048716
                     43,                  1.674,                  1.277,                 1.0167,                0.00667,                      1,                0.01104,                0.00342,                 2.0787,                 3.8581,                 1.2323,             0.00049073,             0.00049073,             0.00049073
                     44,                  1.537,                  1.076,                0.98685,                0.00667,                      1,                0.01104,                0.00342,                 2.0787,                 3.8581,                 1.2323,              0.0004939,              0.0004939,              0.0004939
                     45,                  1.475,                 1.1013,                0.98832,                0.00667,                      1,                0.01078,                0.00418,                 1.9554,                 3.7118,                  1.237,             0.00049667,             0.00049667,             0.00049667
